MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,,
0.369454,0.789841,5.851892,2.285786,0,,,
0.111322,0.916159,2.248865,-0.053161,0,,,
0.101762,0.88458,2.21698,-0.053161,0,,,
0.104948,0.979318,2.248865,-0.053161,0,,,
0.111322,0.88458,2.089439,-0.211198,0,,,
0.104948,0.979318,2.440176,-0.116376,0,,,
0.13363,0.916159,2.21698,-0.147983,0,,,
0.130443,0.947739,2.21698,3.265616,0,,,
0.130443,0.853,2.34452,-0.147983,0,,,
0.114509,0.947739,2.185094,-0.147983,0,,,
0.06352,0.916159,2.312635,-0.211198,0,,,
0.082641,0.916159,2.121324,-0.179591,0,,,
0.092201,0.789841,2.153209,-0.211198,0,,,
0.060333,0.947739,2.089439,-0.242806,0,,,
0.047586,0.947739,1.930013,-0.622094,0,,,
0.044399,1.231954,2.312635,0.104876,0,,,
0.404509,3.821473,3.109765,0.326128,0,,,
0.098575,1.137216,2.408291,0.010054,0,,,
0.095388,1.042477,2.248865,0.041661,0,,,
0.111322,0.947739,2.185094,-0.116376,0,,,
0.089014,0.853,2.248865,-0.147983,0,,,
0.117696,0.947739,2.28075,-0.179591,0,,,
0.092201,0.789841,2.153209,-0.211198,0,,,
0.101762,0.758262,2.28075,-0.242806,0,,,
0.095388,0.88458,2.21698,-0.211198,0,,,
0.117696,1.010898,2.567717,-0.053161,0,,,
0.13363,0.916159,2.153209,-0.053161,0,,,
0.101762,0.853,2.185094,0.578987,0,,,
0.114509,0.947739,2.121324,-0.211198,0,,,
0.114509,1.042477,2.185094,-0.179591,0,,,
0.07308,0.947739,2.089439,-0.55888,0,,,
0.076267,0.979318,2.153209,-0.116376,0,,,
0.06352,0.947739,2.057554,-0.211198,0,,,
0.057146,0.821421,2.057554,-0.179591,0,,,
0.031652,0.88458,2.057554,-0.211198,0,,,
0.034839,1.231954,2.28075,0.010054,0,,,
0.095388,1.231954,2.121324,0.29452,0,,,
0.092201,1.200375,2.248865,0.041661,0,,,
0.104948,1.074057,2.376406,0.041661,0,,,
0.092201,0.88458,2.089439,0.673809,0,,,
0.098575,0.947739,3.173536,-0.084769,0,,,
0.114509,0.537205,2.153209,-0.147983,0,,,
0.101762,0.947739,2.28075,-0.147983,0,,,
0.114509,0.821421,2.28075,-0.337628,0,,,
0.104948,0.947739,2.21698,-0.337628,0,,,
0.124069,1.010898,2.631487,-0.147983,0,,,
0.155937,1.042477,2.21698,1.116313,0,,,
0.124069,0.916159,2.28075,-0.179591,0,,,
0.108135,0.979318,2.21698,-0.43245,0,,,
0.085828,1.042477,2.34452,-0.179591,0,,,
0.092201,0.947739,2.121324,-0.179591,0,,,
0.060333,3.000406,2.089439,-0.211198,0,,,
0.053959,0.947739,2.089439,-0.242806,0,,,
0.06352,1.010898,2.121324,-0.179591,0,,,
0.07308,0.979318,2.025668,-0.242806,0,,,
0.028465,2.74777,2.312635,2.064535,0,,,
